Date,Open,High,Low,Close,Adj Close,Volume
2004-08-01,2.478922643040336,2.8130819018710995,2.378775051187396,2.5376734733581543,2684837851,2.5376734733581543
2004-09-01,2.5458537156559062,3.3470418016508696,2.4526460433719532,3.212684154510498,4270113667,3.212684154510498
2004-10-01,3.242431225581493,4.956606183329434,3.195331324235805,4.725819110870361,10321258145,4.725819110870361
2004-11-01,4.797955537517405,4.997508457493735,3.998751016875794,4.511144161224365,11145383635,4.511144161224365
2004-12-01,4.510401294302142,4.954872252898182,4.176241985347898,4.779116630554199,5835483147,4.779116630554199
2005-01-01,4.893393376094445,5.089228831830638,4.370092764238407,4.849269390106201,8237356337,4.849269390106201
2005-02-01,4.818530362786585,5.374304812182871,4.486851287948422,4.660127639770508,13073210618,4.660127639770508
2005-03-01,4.692354244870966,4.706235507716071,4.277878311741881,4.474703788757324,6903740285,4.474703788757324
2005-04-01,4.505691006527671,5.571131643478242,4.458095394908785,5.453631401062012,9101631755,5.453631401062012
2005-05-01,5.504448406659138,6.901322247294524,5.4588365792894145,6.873310089111328,10188799510,6.873310089111328
2005-06-01,7.020310987393334,7.66607041232045,6.629384186285596,7.291752338409424,15618390955,7.291752338409424
2005-07-01,7.313814368494015,7.878017030076734,7.114261437461393,7.133349418640137,8228691980,7.133349418640137
2005-08-01,7.142272941275977,7.429828007637724,6.776135857110867,7.089719772338867,5740311751,7.089719772338867
2005-09-01,7.087489328696349,7.9561030452092085,7.064930201629221,7.844799518585205,6831639042,7.844799518585205
2005-10-01,7.774646386522543,9.289764078741664,7.205732977322435,9.22506332397461,7747430832,9.22506332397461
2005-11-01,9.218123425786555,10.69010767697087,9.147474165351507,10.037406921386719,8498379059,10.037406921386719
2005-12-01,10.143753848828764,11.06120329291047,9.891150850133814,10.28406047821045,7981071306,10.28406047821045
2006-01-01,10.47394505427713,11.777611406193301,9.78530083615424,10.72530746459961,12006439028,10.72530746459961
2006-02-01,9.643755459938607,10.076822954251588,8.374546072423923,8.989070892333984,11945607870,8.989070892333984
2006-03-01,9.136318821392305,9.890902458601774,8.218869438151806,9.66779899597168,12316553076,9.66779899597168
2006-04-01,9.656148706910296,11.173000519360652,9.616485384268916,10.360410690307617,7440364169,10.360410690307617
2006-05-01,10.373549116083248,10.397595606564456,8.938253452204458,9.217131614685059,7063970623,9.217131614685059
2006-06-01,9.259769874935293,10.394868850708008,9.211678791246362,10.394868850708008,5716571099,10.394868850708008
2006-07-01,10.412468877528909,10.60706377096104,9.36264416820561,9.583516120910645,5119995337,9.583516120910645
2006-08-01,9.546581169785437,9.667799820100248,9.007415450745095,9.383467674255371,4294918292,9.383467674255371
2006-09-01,9.444449747013424,10.37900342619803,9.338599245287524,9.96279239654541,4880280180,9.96279239654541
